"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"1007_s_at",10.5414192364109,-0.0331793585479334,0.197629941992554,-0.167886294017044,0.866672732872171,0.999989141093357,"1007_s_at",NA
"121_at",9.60272405132184,-0.165758986844249,0.229249243123647,-0.723051402856086,0.469648304351141,0.999989141093357,"121_at",NA
"1405_i_at",8.10328761332095,0.450316531921205,0.246691288688052,1.82542534969949,0.067936866792438,0.999989141093357,"1405_i_at",NA
"1552281_at",9.73270910981062,-0.537076837707058,0.199182574853662,-2.69640473370546,0.00700924438554987,0.870526912550793,"1552281_at",NA
"1552289_a_at",7.48267339512769,0.242254378056132,0.248977173573067,0.972998345910768,0.330554124189511,0.999989141093357,"1552289_a_at",NA
"1552295_a_at",8.95064884582191,0.0141493121190347,0.220677446254168,0.0641176176324698,0.948876573867555,0.999989141093357,"1552295_a_at",NA
"1552309_a_at",8.57328238692759,0.192103212707788,0.305424793927371,0.628970589576528,0.529368310747021,0.999989141093357,"1552309_a_at",NA
"1552426_a_at",8.9027292953309,0.0352492400709199,0.223152440541961,0.157960361021872,0.87448803382318,0.999989141093357,"1552426_a_at",NA
"1552473_at",8.70371502095306,-0.279856615365561,0.241746654721629,-1.15764421099359,0.247009259417032,0.999989141093357,"1552473_at",NA
"1552474_a_at",9.58215213505925,-0.377592733014008,0.236941951246431,-1.59360860762599,0.111023725368539,0.999989141093357,"1552474_a_at",NA
"1552477_a_at",7.58269050111693,-0.00512155971470572,0.240230360983767,-0.021319369016191,0.982990893109455,0.999989141093357,"1552477_a_at",NA
"1552510_at",9.82573621807139,-0.111773543172972,0.203276451491129,-0.549859771523263,0.582415558274275,0.999989141093357,"1552510_at",NA
"1552610_a_at",9.26964853992555,-0.00283924442515921,0.211385793343145,-0.0134315763621363,0.989283474817504,0.999989141093357,"1552610_a_at",NA
"1552615_at",9.42579632482165,-0.210443273187647,0.224773519958657,-0.93624584081948,0.349146626025704,0.999989141093357,"1552615_at",NA
"1552621_at",9.40279022389134,0.029612420667012,0.220490475518153,0.134302493554076,0.893163381536493,0.999989141093357,"1552621_at",NA
"1552626_a_at",8.46597221506022,-0.246195165778389,0.407497675818948,-0.60416336187344,0.545735036988715,0.999989141093357,"1552626_a_at",NA
"1552797_s_at",8.48733378635083,0.0992589198464466,0.39448876887641,0.251614057680672,0.801339391689717,0.999989141093357,"1552797_s_at",NA
"1552977_a_at",8.77043713500805,-0.0316192398643658,0.233170487481615,-0.135605668649893,0.892133023918435,0.999989141093357,"1552977_a_at",NA
"1553101_a_at",9.22741960600051,-0.0447650375891585,0.211021906499017,-0.212134551961159,0.832002064507233,0.999989141093357,"1553101_a_at",NA
"1553105_s_at",8.48986472672893,0.0308881676565435,0.389587817028978,0.0792842237524229,0.936806554418938,0.999989141093357,"1553105_s_at",NA
"1553185_at",10.5725802352313,0.141307871829907,0.200978200489899,0.703100492916442,0.481993125007261,0.999989141093357,"1553185_at",NA
"1553186_x_at",9.88807016804881,0.1726169301481,0.208504266455489,0.827882004922666,0.407737326975715,0.999989141093357,"1553186_x_at",NA
"1553222_at",9.15206928848973,-0.159452197496948,0.210022976408753,-0.759213111934085,0.447725083758685,0.999989141093357,"1553222_at",NA
"1553262_a_at",8.78741382469833,-0.192001921242136,0.22825812704926,-0.841161380425683,0.400257532563525,0.999989141093357,"1553262_a_at",NA
"1553297_a_at",8.75413844545741,0.167677220786565,0.240035553770003,0.698551602681452,0.484832298348627,0.999989141093357,"1553297_a_at",NA
"1553530_a_at",10.6618846314883,0.131909924195644,0.200096001058156,0.659233185561294,0.509746039832372,0.999989141093357,"1553530_a_at",NA
"1553535_a_at",9.09258707365661,-0.109483405732598,0.212810312880453,-0.514464756198638,0.606927094990272,0.999989141093357,"1553535_a_at",NA
"1553538_s_at",14.8223783453935,-0.0597468772900714,3.00364801498161,-0.0198914376758081,0.984129975540094,0.999989141093357,"1553538_s_at",NA
"1553551_s_at",14.0481922933542,-0.0627954836615235,3.00389886615426,-0.0209046597304114,0.983321709509943,0.999989141093357,"1553551_s_at",NA
"1553567_s_at",14.1818789192405,-0.0410369742540804,3.00387254126113,-0.0136613566955313,0.98910015345864,0.999989141093357,"1553567_s_at",NA
"1553569_at",14.5868485930047,-0.0172554759498609,3.00375985213347,-0.00574462566892786,0.995416477081114,0.999989141093357,"1553569_at",NA
"1553570_x_at",14.8646357568479,-0.0338004771592258,3.00365717775793,-0.0112531075149049,0.991021508747895,0.999989141093357,"1553570_x_at",NA
